dr,name,citsci
dr2009,eBird Australia,Y
dr368,NSW BioNet Atlas,Composite
dr359,"BirdLife Australia, Birdata",Y
dr1097,Victorian Biodiversity Atlas,Composite
dr1411,iNaturalist Australia,Y
dr1089,New South Wales Bird Atlassers,Y
dr571,First Bird Atlas,Y
dr366,SA Flora,N
dr466,Garden Bird Surveys,Y
dr365,SA Fauna,N
dr1132,WildNet - Queensland Wildlife Data,Composite
dr340,Australian Museum provider for OZCAM,N
dr9942,IMOS - Animal Tracking Facility - Acoustic Tracking - Quality Controlled Detections (2007 -2021),N
dr361,Fauna Atlas N.T.,Composite
dr710,Tasmanian Natural Values Atlas,Composite
dr376,National Herbarium of Victoria (MEL) AVH data,N
dr9924,"Collation of spatial seagrass data (meadow extent polygons, species presence/absence points) from 1984 - 2018 for the Great Barrier Reef World Heritage Area (GBRWHA) (NESP TWQ Project 3.2.1 and 5.4, TropWATER, James Cook University)",N
dr15860,Centre for Australian National Biodiversity Research (CANB) AVH data,N
dr362,Flora Atlas N.T.,Composite
dr342,Museums Victoria provider for OZCAM,N
dr10487,Biome of Australia Soil Environments,N
dr2153,New Zealand Virtual Herbarium,N
dr22078,"Catches of numerous insect species in Rothamsted 160W light trap at Devonport, Tasmania, 1992-2019",N
dr344,Queensland Museum provider for OZCAM,N
dr15863,Western Australian Herbarium (PERTH) AVH data,N
dr23650,"Foreign vessel commercial trawl records from the North West Shelf, Australia (1979-1985)",N
dr2287,BRI AVH Data and Images,N
dr15861,NSW AVH feed,N
dr570,Historical Bird Atlas,Y
dr15865,AD AVH Data,N
dr348,Western Australian Museum provider for OZCAM,N
dr23240,"Four Decades of Seagrass Spatial Data from Torres Strait and Gulf of Carpentaria, Australia (1986-2022)",N
dr346,South Australian Museum Adelaide provider for OZCAM,N
dr7425,IMOS - Zooplankton Abundance and Biomass Index (CPR),N
dr14760,FrogID,Y
dr95,Southern Ocean Continuous Zooplankton Recorder (SO-CPR) Survey,N
dr1902,Earth Guardians Weekly Feed,Y
dr22311,NSW DPI Biosecurity Collections,N
dr7969,Reef Life Survey: Global reef fish dataset,Y
dr4788,Western Australia Bird Surveys (1987-2015),N
dr15866,Northern Territory Herbarium (DNA) AVH data,N
